Janet Parsons
Joan Fontaine
Gary Cooper
Jennifer Jones
Bing Crosby
Barry Fitzgerald
Ray Milland
Joan Crawford
Fredric March
Loretta Young
Ronald Colman
Jane Wyman
Broderick Crawford
José Ferrer
Judy Holliday
Humphrey Bogart
Shirley Booth
William Holden
Grace Kelly
Marlon Brando
Anna Magnani
Yul Brynner
Alec Guinness
Susan Hayward
Burl Ives
Hugh Griffith
Peter Ustinov
Rita Moreno
Ed Begley
Melvyn Douglas
Walter Matthau
George Kennedy
Ruth Gordon
Gig Young
John Mills
Helen Hayes
Ben Johnson
Cloris Leachman
Eileen Heckart
Jason Robards
Vanessa Redgrave
Maggie Smith
Christopher Walken
Linda Hunt
Haing Ngor
Don Ameche
Anjelica Huston
Olympia Dukakis
Sean Connery
Geena Davis
Brenda Fricker
Whoopi Goldberg
Mercedes Ruehl
Marisa Tomei
Anna Paquin
Mira Sorvino
Juliette Binoche
Kim Basinger
James Coburn
Michael Clarke Duncan
Marcia Gay Harden
Jim Broadbent
Catherine Zeta-Jones
Renée Zellweger
Cate Blanchett
Rachel Weisz
Alan Arkin
Tilda Swinton
Penélope Cruz
Christoph Waltz
Christian Bale
Melissa Leo
Christopher Plummer
Octavia Spencer
Anne Hathaway
Jared Leto
Patricia Arquette
Mark Rylance
Viola Davis
Mahershala Ali
Sam Rockwell
Regina King
Brad Pitt
Laura Dern
Daniel Kaluuya
Youn Yuh-jung
Troy Kotsur
Jamie Lee Curtis
Freddie Bartholomew
Mickey Rooney
Judy Garland
Margaret O'Brien
Claude Jarman Jr
Ivan Jandl
Bobby Driscoll
Dean Stockwell
Vincent Winter
Jon Whiteley
Hayley Mills
Patty Duke
Mary Badham
Salvatore Corsitto
Tatum O'Neal
Linda Blair
Justin Henry
Ricky Schroder
Henry Thomas
Haley Joel Osment
Anna Paquin
Keisha Castle-Hughes
Abigail Breslin
Saoirse Ronan
Jacob Tremblay
Quvenzhané Wallis
David Bradley
Dorothy McGuire
Joan Blondell
Spring Byington
Gladys Cooper
Agnes Moorehead
Ethel Barrymore
Angela Lansbury
Claire Trevor
Celeste Holm
Ellen Corby
Thelma Ritter
Gloria Grahame
Geraldine Page
Shelley Winters
Sandy Dennis
Ruth Gordon
Margaret Leighton
Maureen Stapleton
Peggy Ashcroft
Anjelica Huston
Dianne Wiest
Brenda Fricker
Mercedes Ruehl
Anna Paquin
Dianne Wiest
Mira Sorvino
Juliette Binoche
Kim Basinger
Judi Dench
Angelina Jolie
Marcia Gay Harden
Jennifer Connelly
Catherine Zeta-Jones
Renée Zellweger
Cate Blanchett
Rachel Weisz
Jennifer Hudson
Marion Cotillard
Penélope Cruz
Melissa Leo
Octavia Spencer
Anne Hathaway
Lupita Nyong'o
Patricia Arquette
Alicia Vikander
Viola Davis
Allison Janney
Regina King
Laura Dern
Youn Yuh-jung
Ariana DeBose
Jamie Lee Curtis
John A Macdonald
Alexander Mackenzie
John Abbott
John Thompson
Mackenzie Bowell
Charles Tupper
Wilfrid Laurier
Robert Borden
Arthur Meighen
William Lyon Mackenzie
Richard Bennett
Louis St Laurent
John Diefenbaker
Lester Pearson
Pierre Trudeau
Joe Clark
John Turner
Brian Mulroney
Kim Campbell
Jean Chrétien
Paul Martin
Stephen Harper
Justin Trudeau
Tommy Douglas
Jack Layton
David Lewis
Ed Broadbent
Audrey McLaughlin
Alexa McDonough
Preston Manning
Robert Stanfield
John Bracken
George Drew
William Davis
Mike Harris
Dalton McGuinty
Kathleen Wynne
Doug Ford
René Lévesque
Jacques Parizeau
Lucien Bouchard
Bernard Landry
Jean Charest
Philippe Couillard
François Legault
Peter Lougheed
Ralph Klein
Rachel Notley
Jason Kenney
Danielle Smith
Dave Barrett
Glen Clark
Gordon Campbell
Christy Clark
John Horgan
David Eby
Gary Doer
Greg Selinger
Brian Pallister
Heather Stefanson
Roy Romanow
Brad Wall
Scott Moe
Frank McKenna
Bernard Lord
Shawn Graham
David Alward
Brian Gallant
Blaine Higgs
Joey Smallwood
Danny Williams
Paul Davis
Dwight Ball
Andrew Furey
Allan Blagh
